shape_id,shape_pt_sequence,shape_pt_lat,shape_pt_lon,shape_dist_traveled
0976,2009,47.510234,19.056148,5591.0
0976,2010,47.510575,19.055378,5660.0
0976,2011,47.51068,19.055172,5677.0
0976,2012,47.510692,19.055086,5685.0
0976,2013,47.511016,19.05417,5763.0
0976,2014,47.51188,19.051701,5972.0
0976,2015,47.512123,19.050997,6031.0
0976,2016,47.512815,19.049059,6196.0
0976,2017,47.512905,19.048846,6215.0
0976,2018,47.513031,19.048528,6243.0
0976,2019,47.51313,19.048209,6269.0
0976,2020,47.513099,19.048177,6273.0
0976,2021,47.51313,19.048209,6277.0
0976,2022,47.513207,19.047858,6305.0
0976,2023,47.51327,19.047646,6322.0
0976,2024,47.513449,19.047128,6366.0
0976,2025,47.513566,19.046796,6394.0
0976,2026,47.513908,19.045827,6476.0
0976,2027,47.514385,19.044473,6591.0
0976,2028,47.514502,19.044154,6618.0
0976,2029,47.514628,19.043809,6648.0
0976,2030,47.5147,19.04357,6668.0
0976,2031,47.514726,19.04349,6675.0
0976,2032,47.514726,19.043411,6681.0
0976,2033,47.514726,19.043305,6689.0
0976,2034,47.514708,19.042641,6739.0
0976,2035,47.514708,19.042521,6748.0
0976,2036,47.514717,19.042521,6749.0
0976,2037,47.514708,19.042521,6750.0
0976,2038,47.51469,19.042043,6786.0
0976,2039,47.514677,19.040402,6910.0
0976,2040,47.514623,19.039061,7011.0
0976,2041,47.5146,19.03818,7077.0
0976,2042,47.514618,19.038193,7079.0
0976,2043,47.5146,19.03818,7081.0
0976,2044,47.514591,19.037715,7116.0
0976,2045,47.514555,19.036906,7177.0
0976,2046,47.514533,19.036233,7228.0
0976,2047,47.514524,19.036127,7236.0
0976,2048,47.514506,19.036021,7244.0
0976,2049,47.514488,19.035915,7252.0
0976,2050,47.514494,19.035855,7256.0
0976,2051,47.514434,19.035795,7262.0
0976,2052,47.514398,19.035742,7268.0
0976,2053,47.514317,19.035676,7278.0
0976,2054,47.514062,19.035523,7311.0
0976,2055,47.513261,19.035085,7406.0
0976,2056,47.512895,19.034879,7447.0
0976,2057,47.51232,19.034601,7514.0
0976,2058,47.512023,19.034442,7549.0
0976,2059,47.511948,19.034369,7561.0
0976,2060,47.511822,19.034249,7578.0
0976,2061,47.511735,19.034176,7587.0
0976,2062,47.511681,19.034083,7596.0
0976,2063,47.511651,19.033944,7608.0
0976,2064,47.511345,19.033108,7680.0
0976,2065,47.511147,19.03255,7727.0
0976,2066,47.511042,19.032318,7747.0
0976,2067,47.51103,19.032139,7761.0
0976,2068,47.510772,19.031455,7819.0
0976,2069,47.510778,19.031462,7821.0
0976,2070,47.510772,19.031455,7823.0
0976,2071,47.5107,19.031242,7841.0
0976,2072,47.510421,19.030419,7910.0
0976,2073,47.510115,19.029557,7983.0
0976,2074,47.510052,19.029411,7996.0
0976,2075,47.50998,19.029238,8011.0
0976,2076,47.509899,19.029052,8028.0
0976,2077,47.509845,19.02892,8040.0
0976,2078,47.509755,19.02876,8056.0
0976,2079,47.509674,19.028628,8069.0
0976,2080,47.50954,19.028455,8089.0
0976,2081,47.509252,19.028097,8131.0
0976,2082,47.508937,19.027725,8176.0
0976,2083,47.508514,19.027247,8235.0
0976,2084,47.508136,19.026809,8288.0
0976,2085,47.5081,19.02677,8293.0
0976,2086,47.508114,19.026739,8296.0
0976,2087,47.5081,19.02677,8299.0
0976,2088,47.507574,19.026195,8371.0
0976,2089,47.507484,19.026076,8384.0
0976,2090,47.507431,19.02594,8397.0
0976,2091,47.507367,19.025863,8404.0
0976,2092,47.507322,19.025744,8414.0
0976,2093,47.507295,19.025638,8423.0
0976,2094,47.507286,19.025545,8430.0
0976,2095,47.507277,19.025439,8438.0
0976,2096,47.507286,19.025266,8451.0
0976,2097,47.507331,19.024496,8509.0
0976,2098,47.507358,19.024496,8512.0
0977,3208,47.507232,19.025186,0.0
0977,3209,47.507263,19.025177,3.0
0977,3210,47.50725,19.025319,14.0
0977,3211,47.50725,19.025439,23.0
0977,3212,47.50725,19.025531,30.0
0977,3213,47.507259,19.025624,37.0
0977,3214,47.507286,19.02577,48.0
0977,3215,47.507331,19.025877,57.0
0977,3216,47.50743,19.026076,76.0
0977,3217,47.507551,19.026226,93.0
0977,3218,47.50851,19.02727,226.0
0977,3219,47.508483,19.027323,231.0
0977,3220,47.50851,19.02727,236.0
0977,3221,47.508537,19.02731,240.0
0977,3222,47.509207,19.028097,335.0
0977,3223,47.509468,19.028428,373.0
0977,3224,47.50968,19.028661,401.0
0977,3225,47.50977,19.028807,416.0
0977,3226,47.509815,19.0289,425.0
0977,3227,47.509896,19.029046,439.0
0977,3228,47.510016,19.029397,470.0
0977,3229,47.510097,19.029596,487.0
0977,3230,47.510358,19.03034,550.0
0977,3231,47.510574,19.031004,605.0
0977,3232,47.510646,19.031203,622.0
0977,3233,47.510778,19.031581,653.0
0977,3234,47.510934,19.032145,700.0
0977,3235,47.510939,19.032114,702.0
0977,3236,47.510934,19.032145,704.0
0977,3237,47.51106,19.03245,731.0
0977,3238,47.511498,19.033599,829.0
0977,3239,47.511669,19.034064,869.0
0977,3240,47.511681,19.03415,876.0
0977,3241,47.511744,19.034229,885.0
0977,3242,47.511789,19.034296,892.0
0977,3243,47.511897,19.034402,906.0
0977,3244,47.512005,19.034481,919.0
0977,3245,47.512904,19.034933,1025.0
0977,3246,47.513567,19.035298,1101.0
0977,3247,47.514218,19.035662,1181.0
0977,3248,47.514281,19.035702,1189.0
0977,3249,47.514362,19.035769,1199.0
0977,3250,47.514425,19.035848,1208.0
0977,3251,47.514461,19.035941,1216.0
0977,3252,47.514488,19.036034,1224.0
0977,3253,47.514506,19.03614,1232.0
0977,3254,47.514519,19.03672,1276.0
0977,3255,47.514528,19.036972,1295.0
0977,3256,47.514564,19.037715,1351.0
0977,3257,47.514596,19.038902,1440.0
0977,3258,47.514546,19.038897,1445.0
0977,3259,47.514596,19.038902,1450.0
0977,3260,47.514614,19.039619,1504.0
0977,3261,47.514681,19.042256,1703.0
0977,3262,47.514681,19.042628,1731.0
0977,3263,47.514699,19.043305,1782.0
0977,3264,47.5147,19.043424,1791.0
0977,3265,47.514682,19.043504,1797.0
0977,3266,47.514673,19.043557,1801.0
0977,3267,47.51443,19.044234,1859.0
0977,3268,47.514403,19.0443,1865.0
0977,3269,47.514439,19.044327,1869.0
0977,3270,47.514403,19.0443,1873.0
0977,3271,47.51353,19.04677,2083.0
0977,3272,47.513315,19.04738,2135.0
0977,3273,47.513252,19.047579,2152.0
0977,3274,47.513162,19.047805,2172.0
0977,3275,47.51309,19.047991,2188.0
0977,3276,47.512991,19.048257,2211.0
0977,3277,47.512842,19.048793,2254.0
0977,3278,47.512829,19.048827,2257.0
0977,3279,47.512847,19.048841,2259.0
0977,3280,47.512829,19.048827,2261.0
0977,3281,47.512734,19.049178,2289.0
0977,3282,47.512285,19.050466,2398.0
0977,3283,47.511868,19.051668,2501.0
0977,3284,47.511517,19.052663,2586.0
0977,3285,47.510872,19.054488,2739.0
0977,3286,47.510665,19.055073,2789.0
0977,3287,47.510593,19.055245,2804.0
0977,3288,47.510333,19.055856,2858.0
0977,3289,47.510072,19.056427,2910.0
0977,3290,47.509946,19.056652,2932.0
0977,3291,47.509914,19.056686,2936.0
0977,3292,47.509896,19.056659,2939.0
0977,3293,47.509914,19.056686,2942.0
0977,3294,47.509883,19.056758,2948.0
0977,3295,47.509748,19.056997,2971.0
0977,3296,47.509115,19.057827,3067.0
0977,3297,47.50871,19.058371,3128.0
0977,3298,47.508089,19.059287,3226.0
0977,3299,47.507373,19.060289,3333.0
0977,3300,47.506658,19.061331,3445.0
0977,3301,47.50637,19.061743,3490.0
0977,3302,47.506083,19.062221,3540.0
0977,3303,47.506002,19.062314,3551.0
0977,3304,47.505565,19.062838,3611.0
0977,3305,47.505552,19.062844,3612.0
0977,3306,47.505561,19.062871,3614.0
0977,3307,47.505552,19.062844,3616.0
0977,3308,47.505318,19.063176,3652.0
0977,3309,47.505012,19.063614,3699.0
0977,3310,47.504769,19.063919,3734.0
0977,3311,47.503609,19.065246,3897.0
0977,3312,47.50279,19.066188,4012.0
0977,3313,47.502781,19.066202,4013.0
0977,3314,47.50279,19.066188,4014.0
0977,3315,47.500676,19.068484,4306.0
0977,3316,47.500523,19.06863,4326.0
0977,3317,47.500415,19.068749,4341.0
0977,3318,47.499839,19.069187,4413.0
0977,3319,47.49983,19.06916,4415.0
0977,3320,47.499839,19.069187,4417.0
0977,3321,47.499812,19.0692,4420.0
0977,3322,47.498808,19.06999,4547.0
0977,3323,47.498718,19.070043,4558.0
0977,3324,47.498589,19.070116,4576.0
0977,3325,47.498284,19.070222,4611.0
0977,3326,47.497414,19.07048,4707.0
0977,3327,47.497324,19.070507,4717.0
0977,3328,47.497027,19.070533,4750.0
0977,3329,47.496883,19.070573,4766.0
0977,3330,47.496227,19.070759,4840.0
0977,3331,47.496224,19.070672,4846.0
0977,3332,47.496227,19.070759,4852.0
0977,3333,47.496128,19.070785,4863.0
0977,3334,47.495819,19.070804,4897.0
0977,3335,47.495567,19.070844,4925.0
0977,3336,47.4945,19.070957,5044.0
0977,3337,47.493213,19.071116,5188.0
0977,3338,47.493043,19.071115,5207.0
0977,3339,47.492872,19.071115,5226.0
0977,3340,47.492356,19.071042,5283.0
0977,3341,47.492383,19.071016,5285.0
0977,3342,47.492356,19.071042,5287.0
0977,3343,47.491441,19.070916,5389.0
0977,3344,47.490656,19.070803,5479.0
0977,3345,47.489568,19.070656,5598.0
0977,3346,47.489559,19.070589,5603.0
0977,3347,47.489568,19.070656,5608.0
0977,3348,47.488293,19.070463,5751.0
0977,3349,47.487376,19.070317,5854.0
0977,3350,47.486932,19.070257,5906.0
0977,3351,47.486629,19.070224,5937.0
0977,3352,47.486288,19.070157,5975.0
0977,3353,47.486177,19.070124,5987.0
0977,3354,47.486186,19.070057,5992.0
0977,3355,47.486177,19.070124,5997.0
0977,3356,47.486123,19.07011,6003.0
0977,3357,47.485952,19.070018,6026.0
0977,3358,47.485772,19.069925,6047.0
0977,3359,47.485565,19.069832,6071.0
0977,3360,47.485331,19.069726,6098.0
0977,3361,47.484702,19.069499,6167.0
0977,3362,47.484594,19.06946,6179.0
0977,3363,47.484309,19.069373,6212.0
0977,3364,47.483433,19.069008,6316.0
0977,3365,47.482771,19.068776,6389.0
0977,3366,47.482186,19.06851,6457.0
0977,3367,47.482184,19.068463,6460.0
0977,3368,47.482186,19.06851,6463.0
0977,3369,47.482058,19.06845,6478.0
0977,3370,47.481796,19.068278,6513.0
0977,3371,47.481521,19.068125,6543.0
0977,3372,47.481179,19.067873,6585.0
0977,3373,47.481116,19.06782,6593.0
0977,3374,47.481086,19.06776,6600.0
0977,3375,47.480972,19.067661,6613.0
0977,3376,47.480918,19.067594,6621.0
0977,3377,47.480864,19.067515,6629.0
0977,3378,47.480792,19.067408,6640.0
0977,3379,47.480738,19.067302,6650.0
0977,3380,47.480684,19.067196,6660.0
0977,3381,47.480639,19.067077,6670.0
0977,3382,47.480522,19.066811,6694.0
0977,3383,47.480397,19.066546,6718.0
0977,3384,47.480152,19.066061,6763.0
0977,3385,47.480125,19.066075,6766.0
0977,3386,47.480152,19.066061,6769.0
0977,3387,47.479965,19.065696,6804.0
0977,3388,47.479794,19.065338,6837.0
0977,3389,47.478598,19.062857,7066.0
0977,3390,47.477519,19.060681,7269.0
0977,3391,47.477447,19.060521,7283.0
0977,3392,47.477267,19.06011,7320.0
0977,3393,47.477129,19.059785,7350.0
0977,3394,47.476699,19.058936,7428.0
0977,3395,47.476672,19.058963,7432.0
0977,3396,47.476699,19.058936,7436.0
0977,3397,47.476663,19.05887,7442.0
0977,3398,47.476575,19.058717,7458.0
0977,3399,47.476503,19.058597,7470.0
0977,3400,47.476431,19.058491,7481.0
0977,3401,47.476368,19.058385,7492.0
0977,3402,47.476035,19.057708,7555.0
0977,3403,47.475523,19.056647,7653.0
0977,3404,47.47498,19.055499,7760.0
0977,3405,47.474298,19.054133,7886.0
0977,3406,47.474208,19.053881,7907.0
0977,3407,47.474118,19.053682,7925.0
0977,3408,47.473686,19.052807,8007.0
0977,3409,47.473677,19.052807,8008.0
0977,3410,47.473686,19.052807,8009.0
0977,3411,47.473632,19.052687,8020.0
0977,3412,47.473587,19.052568,8030.0
0977,3413,47.47356,19.052462,8039.0
0977,3414,47.473524,19.052316,8051.0
0977,3415,47.473506,19.05217,8062.0
0977,3416,47.473497,19.052037,8072.0
0977,3417,47.473497,19.051905,8082.0
0977,3418,47.473497,19.051746,8094.0
0977,3419,47.473713,19.049915,8234.0
0977,3420,47.47383,19.048801,8319.0
0977,3421,47.473857,19.048535,8339.0
0977,3422,47.474009,19.047433,8423.0
0977,3423,47.474048,19.046882,8466.0
0977,3424,47.474045,19.046863,8469.0
1109,153773,47.519592,19.090573,0.0
1109,153774,47.519585,19.090571,1.0
1109,153775,47.51959,19.090539,4.0
1109,153776,47.519644,19.088973,122.0
1109,153777,47.519653,19.088627,148.0
1109,153778,47.519635,19.088322,171.0
1109,153779,47.5196,19.087977,197.0
1109,153780,47.519537,19.087605,226.0
1109,153781,47.519492,19.087353,246.0
1109,153782,47.519393,19.087007,274.0
1109,153783,47.519267,19.086675,303.0
1109,153784,47.51898,19.086091,357.0
1109,153785,47.518755,19.085546,405.0
1109,153786,47.517766,19.083275,608.0
1109,153787,47.517595,19.08281,648.0
1109,153788,47.517515,19.082372,682.0
1109,153789,47.51753,19.082153,698.0
1109,153790,47.517497,19.081801,725.0
1109,153791,47.51753,19.080985,786.0
1109,153792,47.517508,19.08098,787.0
1109,153793,47.51753,19.080985,788.0
1109,153794,47.517521,19.080494,825.0
1109,153795,47.517521,19.080427,830.0
1109,153796,47.517485,19.080148,851.0
1109,153797,47.517449,19.079962,866.0
1109,153798,47.517413,19.079803,879.0
1109,153799,47.517332,19.079577,898.0
1109,153800,47.517287,19.079458,908.0
1109,153801,47.517243,19.079351,917.0
1109,153802,47.517171,19.079232,929.0
1109,153803,47.51709,19.079086,943.0
1109,153804,47.517009,19.078966,956.0
1109,153805,47.516919,19.078847,969.0
1109,153806,47.516712,19.078581,999.0
1109,153807,47.516685,19.078555,1003.0
1109,153808,47.51664,19.078515,1009.0
1109,153809,47.516433,19.078329,1036.0
1109,153810,47.516397,19.078302,1040.0
1109,153811,47.51628,19.078262,1053.0
1109,153812,47.516145,19.078196,1069.0
1109,153813,47.516056,19.078156,1079.0
1109,153814,47.515777,19.078036,1111.0
1109,153815,47.515597,19.07797,1132.0
1109,153816,47.515417,19.077877,1153.0
1109,153817,47.515273,19.07777,1171.0
1109,153818,47.51502,19.07757,1200.0
1109,153819,47.514858,19.077437,1221.0
1109,153820,47.514678,19.077291,1244.0
1109,153821,47.514561,19.077185,1259.0
1109,153822,47.514471,19.077092,1271.0
1109,153823,47.514031,19.076454,1340.0
1109,153824,47.514055,19.076439,1343.0
1109,153825,47.514031,19.076454,1346.0
1109,153826,47.514013,19.076428,1349.0
1109,153827,47.511353,19.072431,1773.0
1109,153828,47.511225,19.072284,1789.0
1109,153829,47.511237,19.072271,1790.0
1109,153830,47.511225,19.072284,1791.0
1109,153831,47.509166,19.069244,2115.0
1109,153832,47.509121,19.069177,2122.0
1109,153833,47.509175,19.069116,2129.0
1109,153834,47.509121,19.069177,2136.0
1109,153835,47.507188,19.066269,2443.0
1109,153836,47.507144,19.06615,2455.0
1109,153837,47.507149,19.066118,2459.0
1109,153838,47.507144,19.06615,2463.0
1109,153839,47.505336,19.063495,2744.0
1109,153840,47.50494,19.062897,2807.0
1109,153841,47.504904,19.062844,2813.0
1109,153842,47.504923,19.062823,2816.0
1109,153843,47.504904,19.062844,2819.0
1109,153844,47.502224,19.058835,3243.0
1109,153845,47.502188,19.058769,3249.0
1109,153846,47.502197,19.058761,3250.0
1109,153847,47.502188,19.058769,3251.0
1109,153848,47.499859,19.055264,3621.0
1109,153849,47.499841,19.055238,3624.0
1109,153850,47.499841,19.055259,3625.0
1109,153851,47.499841,19.055238,3626.0
1109,153852,47.499566,19.054846,3669.0
1109,153853,47.499449,19.054753,3684.0
1109,153854,47.49935,19.054713,3695.0
1109,153855,47.499233,19.054686,3708.0
1109,153856,47.498343,19.054766,3807.0
1109,153857,47.498199,19.054766,3823.0
1109,153858,47.498109,19.054726,3833.0
1109,153859,47.498028,19.054686,3842.0
1109,153860,47.497965,19.054646,3850.0
1109,153861,47.497911,19.05454,3860.0
1109,153862,47.497866,19.054434,3869.0
1109,153863,47.497821,19.054248,3884.0
1109,153864,47.497809,19.054069,3898.0
1109,153865,47.497749,19.053916,3911.0
1109,153866,47.49771,19.053658,3930.0
1109,153867,47.49772,19.05367,3931.0
1109,153868,47.49771,19.053658,3932.0
1109,153869,47.497677,19.053412,3951.0
1109,153870,47.497557,19.052689,4007.0
1109,153871,47.497353,19.05101,4136.0
1109,153872,47.497317,19.05093,4143.0
1109,153873,47.497263,19.050877,4150.0
1109,153874,47.497209,19.05085,4156.0
1109,153875,47.497128,19.050837,4165.0
1109,153876,47.496993,19.050824,4180.0
1109,153877,47.49694,19.050797,4186.0
1109,153878,47.496886,19.050744,4193.0
1109,153879,47.49685,19.050678,4199.0
1109,153880,47.496688,19.050266,4235.0
1109,153881,47.496661,19.050187,4242.0
1109,153882,47.496671,19.050193,4243.0
1110,152936,47.496737,19.050593,0.0
1110,152937,47.496747,19.050579,2.0
1110,152938,47.49676,19.050625,5.0
1110,152939,47.496823,19.050757,17.0
1110,152940,47.496877,19.05085,26.0
1110,152941,47.496913,19.050877,30.0
1110,152942,47.496966,19.050903,36.0
1110,152943,47.497011,19.050903,41.0
1110,152944,47.497191,19.05093,61.0
1110,152945,47.497254,19.050956,68.0
1110,152946,47.49729,19.050996,73.0
1110,152947,47.497317,19.051049,78.0
1110,152948,47.497335,19.051275,95.0
1110,152949,47.497443,19.052138,161.0
1110,152950,47.497521,19.052849,216.0
1110,152951,47.497677,19.05385,293.0
1110,152952,47.497704,19.054009,305.0
1110,152953,47.497737,19.054136,316.0
1110,152954,47.497728,19.054142,317.0
1110,152955,47.497737,19.054136,318.0
1110,152956,47.497812,19.054434,341.0
1110,152957,47.497866,19.054606,355.0
1110,152958,47.497929,19.054713,366.0
1110,152959,47.497965,19.054752,371.0
1110,152960,47.498028,19.054792,379.0
1110,152961,47.4981,19.054819,387.0
1110,152962,47.498181,19.054859,396.0
1110,152963,47.498271,19.054872,406.0
1110,152964,47.499134,19.054806,502.0
1110,152965,47.499287,19.054806,519.0
1110,152966,47.499409,19.054826,533.0
1110,152967,47.499481,19.054893,542.0
1110,152968,47.499526,19.054946,548.0
1110,152969,47.499967,19.055596,617.0
1110,152970,47.499937,19.055655,623.0
1110,152971,47.499967,19.055596,629.0
1110,152972,47.500021,19.055663,637.0
1110,152973,47.502314,19.059127,1002.0
1110,152974,47.502305,19.059161,1005.0
1110,152975,47.502314,19.059127,1008.0
1110,152976,47.50235,19.059193,1014.0
1110,152977,47.505021,19.063176,1436.0
1110,152978,47.505039,19.063202,1439.0
1110,152979,47.505023,19.063233,1442.0
1110,152980,47.505039,19.063202,1445.0
1110,152981,47.505435,19.0638,1508.0
1110,152982,47.507242,19.066508,1794.0
1110,152983,47.507238,19.066529,1795.0
1110,152984,47.507242,19.066508,1796.0
1110,152985,47.507278,19.066561,1802.0
1110,152986,47.509211,19.069456,2108.0
1110,152987,47.509256,19.069536,2116.0
1110,152988,47.509261,19.069544,2117.0
1110,152989,47.509256,19.069536,2118.0
1110,152990,47.511342,19.072643,2448.0
1110,152991,47.511342,19.072662,2449.0
1110,152992,47.511342,19.072643,2450.0
1110,152993,47.511459,19.072815,2468.0
1110,152994,47.514157,19.076799,2892.0
1110,152995,47.51411,19.076883,2900.0
1110,152996,47.514157,19.076799,2908.0
1110,152997,47.514264,19.076959,2925.0
1110,152998,47.514399,19.077145,2946.0
1110,152999,47.51448,19.077238,2957.0
1110,153000,47.514624,19.07737,2976.0
1110,153001,47.515435,19.078049,3077.0
1110,153002,47.515723,19.078182,3111.0
1110,153003,47.516109,19.078328,3155.0
1110,153004,47.516235,19.078395,3170.0
1110,153005,47.51637,19.078448,3186.0
1110,153006,47.516433,19.078488,3194.0
1110,153007,47.516559,19.078608,3211.0
1110,153008,47.516712,19.078767,3232.0
1110,153009,47.516865,19.078966,3255.0
1110,153010,47.517036,19.079205,3281.0
1110,153011,47.517126,19.079338,3295.0
1110,153012,47.517224,19.079551,3314.0
1110,153013,47.517269,19.079683,3325.0
1110,153014,47.517305,19.079816,3336.0
1110,153015,47.517341,19.079976,3349.0
1110,153016,47.517368,19.080122,3360.0
1110,153017,47.517404,19.080321,3376.0
1110,153018,47.517431,19.080507,3390.0
1110,153019,47.51744,19.080759,3409.0
1110,153020,47.51744,19.080998,3427.0
1110,153021,47.517416,19.081283,3448.0
1110,153022,47.517411,19.081474,3463.0
1110,153023,47.517407,19.081481,3464.0
1110,153024,47.517411,19.081474,3465.0
1110,153025,47.517425,19.081881,3495.0
1110,153026,47.517434,19.08216,3516.0
1110,153027,47.517452,19.082399,3534.0
1110,153028,47.517532,19.082837,3568.0
1110,153029,47.517694,19.083341,3610.0
1110,153030,47.518692,19.085586,3812.0
1110,153031,47.518917,19.086131,3860.0
1110,153032,47.519096,19.086503,3894.0
1110,153033,47.519222,19.086781,3919.0
1110,153034,47.519321,19.087047,3942.0
1110,153035,47.519384,19.087286,3961.0
1110,153036,47.519465,19.087578,3985.0
1110,153037,47.519528,19.08795,4014.0
1110,153038,47.519563,19.088282,4039.0
1110,153039,47.519581,19.088601,4063.0
1110,153040,47.51959,19.088906,4086.0
1110,153041,47.519527,19.090871,4234.0
1110,153042,47.519522,19.091035,4247.0
1110,153043,47.519513,19.091037,4248.0
1111,153044,47.502885,19.135571,0.0
1111,153045,47.502843,19.135591,2.0
1111,153046,47.502754,19.134754,66.0
1111,153047,47.502691,19.133931,128.0
1111,153048,47.502674,19.133334,173.0
1111,153049,47.502653,19.13285,209.0
1111,153050,47.502099,19.127778,596.0
1111,153051,47.501742,19.124446,850.0
1111,153052,47.501518,19.122428,1004.0
1111,153053,47.501294,19.120698,1136.0
1111,153054,47.501288,19.120589,1145.0
1111,153055,47.501178,19.119636,1217.0
